animal,n,животное,689,4.308,"A cat is an animal, not a plant. Humans are also animals, under the scientific definition, as we are not plants. || My students are animals. || He's a political animal. || a whole different animal || animal instincts || animal passions"
ankle,n,"лодыжка, щиколотка",1936,1.136,
announce,v,"объявлять, сообщать",1775,1.258,
annoy,v,"надоедать; раздражать; в осн. annoyed a- недовольный, раздраженный",2282,887.0,"Marc loved his sister, but when she annoyed him he wanted to switch her off. || to annoy an army by impeding its march, or by a cannonade"
another,pron,другой; еще один,151,24.655,"There is one sterling and here is another || I saw one movie, but I think I will see another. || His interests keep shifting from one thing to another."
answer,n,ответ; v- отвечать,288,11.872,Her answer to his proposal was a slap in the face. || There is no simple answer to corruption. || He answered the question. || to answer a charge or accusation || Nobody answered when I knocked on the door. || It answers the need. || He has a lot to answer for. || He answered my claim upon him.
anxious,a,"озабоченный; стремящийся (к), сильно желающий",2210,938.0,I could tell she was anxious as she was biting her nails. || There was an anxious wait before the results were revealed. || All the voters were anxious to hear the election result.
any,pron,какой-нибудь; любой,133,27.186,I will not remain here any longer. || Any may apply.
anybody,pron,кто-нибудь (в вопр.); никто (в отриц.); любой (в утверд.),895,3.112,Anybody will do. || Everybody who wants to be anybody will come to Jake's party.
anymore,adv,обычно в отриц. предл. в знач. больше не; редко в утверд. в знач. когда-нибудь еще; более того,1122,2.34,They don't make repairable radios any more. || I eat fish anymore.
anyone,pron,кто-нибудь; никто; любой,506,6.12,Almost anyone can change a light bulb.
anything,pron,что-нибудь; что угодно,191,16.758,I would not do it for anything. || She's not anything like as strong as me.
anyway,adv,в любом случае,552,5.456,"He didn't enjoy washing his car, but it was so dirty that he did it anyway. || I don't think that's true. I haven't found any evidence, anyway."
anywhere,adv,где-нибудь (в вопр.); нигде (в отриц.); где угодно (в утверд.),1345,1.84,"I don't know where I left my keys. They could be anywhere. || Anywhere you go in France, there will be bread and wine with dinner. || Anywhere is better than here!"
apart,adv,в стороне; отдельно,1097,2.385,a world apart || Consider the two propositions apart. || We took the computer apart and put it back together.
apartment,n,комната; квартира,674,4.391,
apologize,v,извиняться,2481,783.0,My correspondent apologized for not answering my letter.
apparently,adv,очевидно; по-видимому,1274,1.977,"A man may be apparently friendly, yet malicious in heart. || Apparently you are quite a good dancer."
appear,v,"являться, появляться; казаться",386,8.207,A great writer appeared at that time. || He appeared quite happy with the result.
appearance,n,появление; наружность,1960,1.117,"His sudden appearance surprised me. || There was a strange appearance in the sky. || Some people say I'm shallow because I care so much about my appearance. || Catholicism teaches that the Eucharist, while remaining under the physical appearance of bread and wine, becomes really and truly the body and the blood of Christ. || A person makes his appearance as an historian, an artist, or an orator. || The patient had a small bowel obstruction and there was no appearance until after the obstruction resolved."
apply,v,"прикладывать; обращаться (к, за); использовать, применять",2400,823.0,to apply cream to a rash || to apply funds to the repayment of a debt || We need to apply the skills we've learned to solve this problem || I recently applied to the tavern for a job as a bartender. || That rule only applies to foreigners.
appreciate,v,ценить; высоко ставить; понимать ценность,1831,1.212,I appreciate your efforts || You must learn to appreciate time || I appreciate that what I'm asking you to do is very difficult. || The value of his portfolio appreciated by 80% over eight years.
approach,n,приближение; v- приближаться (к); обращаться (к),474,6.563,"1991, Carol Lee Johnston, Jeanne Lazaris, Plane Trigonometry, A New Approach. || as he approaches to the character of the ablest statesman. || ""Would counsel please approach the bench?"" asked the judge."
arch,n,"арка, свод; дуга; v- перекрывать сводом; выгибать; arched a- арочный, сводчатый",2278,891.0,
are,v,"мн. ч. наст. врем. гл. to be (с we, you, they)",26,154.928,
area,n,"площадь, пространство; район, область",567,5.287,The photo is a little dark in that area. || The plans are a bit vague in that area.
argue,v,"спорить; утверждать, доказывать",1672,1.379,He also argued for stronger methods to be used against China. || He argued his point.
argument,n,"довод, аргумент; спор",2305,871.0,"Parameters are like labeled fillable blanks used to define a function whereas arguments are passed to a function when calling it, filling in those blanks. || The altitude is the argument of the refraction."
army,n,армия,869,3.229,The army was sent in to quell the uprising. || The army opposed the legislature's involvement. || It took an army of accountants to uncover the fraud. || Our house is being attacked by an army of ants. || There was an army of construction cranes working on building the skyscraper.
around,adv,"кругом, вокруг; поблизости; prep- вокруг, по",94,41.067,"Is Clare around today? || ""How is old Bob? I heard that his health is failing.""  ""Oh, he's still around. He's feeling better now."" || High above, vultures circled around. || Everybody please gather around. || An adult elephant weighs around five tons. || Look around and see what you find. || He used to stay up late but his new girlfriend changed that around. || She spun around a few times. || I asked around, and no-one really liked it. || I planted a row of lilies around the statue. || There has been a lot of controversy around the handling of personal information. || She went around the track fifty times. || The road took a brief detour around the large rock formation, then went straight on. || I don't want you around me. || She went around the office and got everyone to sign the card."
arrange,v,располагать; устраивать; договариваться,1581,1.491,to arrange to meet;   to arrange for supper
arrest,n,арест; v- арестовывать,1473,1.636,The police have arrested a suspect in the murder inquiry.
arrive,v,"прибывать, приезжать",688,4.314,He arrived home for two days. || He had finally arrived on Broadway. || The time has arrived for us to depart.
arrow,n,стрела,2110,1.005,
art,n,искусство,1359,1.82,"There is a debate as to whether graffiti is art or vandalism. || She's mastered the art of programming. || He's at university to study art. || Her photographs are nice, but there's no art in them. || Sotheby's regularly auctions art for millions. || I'm a great supporter of the arts."
article,n,статья; предмет; артикль,2398,827.0,"a sales article || The Articles of War are a set of regulations [...] to govern the conduct of [...] military [...] forces || Each of the chelicerae is composed of two articles, forming a powerful pincer. || a shrewd article || She's a prime article (whip slang), she's a devilish good piece, a hell of a goer. || to article an apprentice to a mechanic"
as,adv,"как; cj- когда, в то время как",25,159.727,"It's not as well made, but it's twice as expensive. || 1865, The Act of Suicide as Distinct from the Crime of Self-Murder: A Sermon || They're big as houses. || He was never seen as the boss, but rather as a friend. || As you wish, my lord! || As it’s too late, I quit. || He had the same problem as she did getting the lock open."
ash,n,"зола, пепел; прах",1762,1.272,
aside,adv,в стороне,1033,2.543,"Move aside, please, so that these people can come through."
ask,v,спрашивать,109,33.296,"I know this is a big ask, but … || I asked her age. || to ask a question || I'm going to ask this lady for directions. || to ask for a second helping at dinner || Did you ask to use the car? || What price are you asking for the house? || Don't ask them to the wedding."
asleep,a,спящий; to be ~ спать,1106,2.374,"I was asleep when you called. || How could you miss that? Were you asleep? || My arm fell asleep. You know, like pins and needles."
ass,n,"зоол.-осел; глупец, дурак, задница",760,3.826,
assassin,n,убийца (наемный),2369,842.0,
assault,n,нападение; штурм; v- нападать; штурмовать,2332,858.0,
asshole,n,"руг. задница, жопа",2015,1.072,
assignment,n,назначение; задание,2496,775.0,"This flow chart represents the assignment of tasks in our committee. || We should not condone the assignment of asylum seekers to that of people smugglers. || The assignment the department gave him proved to be quite challenging. || Unbeknownst to Mr Smith, his new assignment was in fact a demotion. || Mrs Smith gave out our assignments, and said we had to finish them by Monday. || The assignment of the lease has not been finalised yet. || Once you receive the assignment in the post, be sure to sign it and send it back as soon as possible."
assistant,n,помошник; ассистент,1461,1.659,an assistant surgeon
associate,v,"соединять(ся), ассоциировать(ся); общаться",2267,896.0,"She associates with her coworkers on weekends. || He associated his name with many environmental causes. || particles of gold associated with other substances || The associate editor is someone who has some experience in editing but not sufficient experience to qualify for a senior post. || He is an associate member of the club. || associate motions: those that occur sympathetically, in consequence of preceding motions"
assume,v,"предполагать, допускать; брать на себя",1163,2.208,"We assume that, as her parents were dentists, she knows quite a bit about dentistry. || Mr. Jones will assume the position of a lifeguard until a proper replacement is found. || He assumed an air of indifference"
assure,v,"уверять, заверять; гарантировать",1884,1.172,
at,prep,"около, у; в, на",21,181.403,"Cars 2 is the most influential film of all time. Don't @ me. || Caesar was at Rome;  at the corner of Fourth Street and Vine;  at Jim’s house || at six o’clock;  at closing time;  at night. || He threw the ball at me.  He shouted at her. || 3 apples at 2¢ (each)   The offer was at $30,000 before negotiations. || men at work || She is at sixes and sevens with him.  They are at loggerheads over how best to tackle the fiscal cliff.  The city was at the mercy of the occupying forces. || Sell at 90.  Tiger finished the round at tenth, seven strokes behind the leaders.  I'm offering it—just to select customers—at cost. || to laugh at a joke   mad at their comments || It is growing at the rate of 3% a year.  Cruising along at fifty miles per hour. || He slipped at marksmanship over his extended vacation. || I've never seen anything like ’at."
atmosphere,n,атмосфера,2479,784.0,
attach,v,"прикреплять, привязывать; гл. образом как attached a- прикрепленный, привязанный; арестованный",1685,1.355,"An officer is attached to a certain regiment, company, or ship. || Dower will attach. || attached to a friend; attaching others to us by wealth or flattery || to attach great importance to a particular circumstance"
attack,n,нападение; v- нападать,810,3.509,"They claimed the censorship of the article was an attack on free speech. || The army timed their attack to coincide with the local celebrations. || Having washed the plates from dinner, I made an attack on the laundry. || I've had an attack of the flu. || This species of snake will only attack humans if it feels threatened. || She published an article attacking the recent pay cuts. || I attacked the meal with a hearty appetite."
attempt,n,попытка; покушение; v- пытаться,1056,2.456,"It was worth the attempt. || 1584 No man can charge us of any attempt against the realm. (Allen's Defence Of English Catholics, cited after Edinburgh review 1883, p. 378) || A group of 80 budding mountaineers attempted Kilimanjaro, but 30 of them didn't make it to the top. || one who attempts the virtue of a woman || to attempt the enemy's camp"
attendant,n,"служитель (в музее, театре и т.п.)",2310,867.0,
attention,n,внимание,661,4.47,Please direct your attention to the following words. || The company will now come to attention.
attitude,n,позиция; отношение к,2323,862.0,The ballet dancer walked with a graceful attitude. || Don't give me your negative attitude. || The airliner had to land with a nose-up attitude after the incident.
attorney,n,адвокат; юрист,1361,1.815,
attractive,a,"привлекательный, притягательный",2376,839.0,That's a very attractive offer. || He is an attractive fellow with a trim figure.
audience,n,публика; зрители,1380,1.784,"We joined the audience just as the lights went down. || She managed to get an audience with the Pope. || ""Private Eye"" has a small but faithful audience. || The opera singer expanded his audience by singing songs from the shows."
aunt,n,тетя,1988,1.093,
authority,n,власть; ~s власти; авторитет,1844,1.202,"I have the authority to penalise the staff in my department, but not the authority to sack them. || the world's foremost authority on orangutans"
automatic,a,автоматический,1808,1.231,"I never learned to drive a stick. I can only drive an automatic. || The G-men raiding the speakeasy were equipped with .45 automatics, while the local policemen were carrying revolvers and shotguns. || The automatic clothes washer was a great labor-saving device. || Absent-minded doodling is a form of automatic art. || Spitting at another player means an automatic red card. || Fully automatic weapons cannot be legally owned by private citizens in the US, except in very special circumstances, as by private security companies. || The US Army adopted John Browning's M1911 pistol as its sidearm, chambered in .45 ACP (Automatic Colt Pistol)."
available,a,"имеющийся; наличный, доступный; (при)годный; действительный",2480,783.0,"We have an available candidate. || The list shows the available products in the store. || This is an available plea. || Hi, this is Mark Smith calling. Is your mother available?"
avenue,n,"аллея; проспект, авеню",1754,1.28,
avoid,v,избегать; уклоняться (от),1336,1.861,I try to avoid the company of gamblers.
awake,v,"(awoke [q'wouk];  awoke, awoken [q'woukn]) будить; просыпаться; перен. пробуждать(ся); to be ~ бодрствовать",1418,1.728,
aware,a,"сознающий, знающий; to be ~ of знать, сознавать",1142,2.265,Stay aware! Don't let your guard down. || Are you aware of what is being said about you?
away,adv,далеко; прочь,105,35.252,"At 9 o'clock sharp he awayed to bed. || The master is away from home. || He's miles away by now. || Next, they are playing away in Dallas. || Two men away in the bottom of the ninth. || He went away on vacation. || I tried to approach him, but he turned away. || throw away, chuck away, toss away || Christmas is only two weeks away. || I'll dry the dishes and you put them away. || He was shut away in the castle tower for six months. || fade away, die away || Please wipe away this spilled drink. || Away! Be gone! And don't let me see you round here again! || She's been in her room all day, working away at her computer. || I saw her whaling away at her detractors."
awful,a,ужасный,1718,1.32,My socks smell awful. || I have learnt an awful amount today. || He was blubbering away something awful.
baby,n,"ребенок; малыш; разг., обычно к девушке: детка, крошка",536,5.666,"When is your baby due? || Stand up for yourself – don't be such a baby! || I only qualified as an architect this summer, so I'm still a baby. || Adam is the baby of the family. || Baby, don't cry. || Hey baby, what are you doing later? || You need to talk to John about that – it's his baby. || See my new car here? I can't wait to take this baby for a drive. || a baby boy || a baby elephant || baby clothes"
back,n,"спина; a- задний; adv- назад, обратно; v- двигаться назад",50,86.088,"Could you please scratch my back? || He sat in the back of the room. || The small boat raced over the backs of the waves. || The ship's back broke in the pounding surf. || Put some back into it! || Could I get a martini with a water back? || the train backed into the station;  the horse refuses to back || I back you all the way;  which horse are you backing in this race? || The mugger backed her into a corner and demanded her wallet. || to back books || to back a letter;  to back a note or legal document || to back the oars || Go in the back door of the house. || I’d like to find a back issue of that magazine. || They took a back road. || They still owe three months' back rent. || back action || The vowel of lot has a back vowel in most dialects of England. || He gave back the money.   He needs his money back.   He was on vacation, but now he’s back.   The office fell into chaos when you left, but now order is back. || Sit all the way back in your chair. || Fear held him back. || If you hurt me, I'll hurt you back. || I last saw him a day or two back."
background,n,задний план; фон; происхождение; образование; подготовка,1830,1.212,The lawyer had a background in computer science. || The photographer let us pick a background for the portrait. || The antivirus program is running in the background. || The antivirus program runs on a background thread.
backward,a,обратный; отсталый; adv- (тж. ~s) назад; наоборот; задом наперед,1249,2.03,They left without a backward glance. || The occasional backward movement of planets is evidence they revolve around the sun. || a backward child || a backward season || to throw the arms backward
bad,a,"плохой, испорченный; сильный",347,9.42,"Abducting children is bad for mothers. || Do you think it is a bad idea to confront him directly? || It is bad manners to talk with your mouth full. || Lard is bad for you. Smoking is bad for you, too. Grapes are bad for dogs but not for humans. || I went to the hospital to see how my grandfather was doing. Unfortunately, he's in a bad state. || Stop being bad, or you will get a spanking! || Divorce is usually a bad experience for everybody involved. || Be careful. There are bad people in the world. || I had a bad headlight. || These apples have gone bad. || Bad breath is not pleasant for anyone. || They were caught trying to pass bad coinage. || He's a bad gardener; everything he tries to grow ends up dying. || I don't look bad in this dress, do I? || Man, that new car you bought is bad! || He is in bad need of a haircut. || He gave me a bad check. || I didn't do too bad in the last exam. || He bade me come in. || She was bidden to the wedding."
badly,adv,"плохо, дурно; очень; сильно",1677,1.369,He's never badly. || I want it so badly.
bag,n,"мешок, сумка, пакет",494,6.318,"Acid House is not my bag: I prefer the more traditional styles of music. || The grounder hit the bag and bounced over the fielder’s head. || He headed back to the bag. || If one has a bag of three apples and the letter 'a' is taken to denote 'apple', then such bag could be represented symbolically as {a,a,a}. Note that in an ordinary context, when talking about a bag of apples, one does not care about identifying the individual apples, although one might be interested in distinguishing apples by species, for example, letting 'r' denote 'red apple' and 'g' denote 'green apple', then a bag of three red apples and two green apples could be denoted as {r,r,r,g,g}. || the bag of a cow || We bagged three deer yesterday. || The brisk wind bagged the sails. || His trousers bag at the knees."
balance,n,весы; равновесие; v- взвешивать; балансировать,1620,1.455,"Blair thought he could provide a useful balance to Bush's policies. || I think the balance of opinion is that we should get out while we're ahead. || I just need to nip to a bank and check my balance. || The balance of the agreement remains in effect. || I balanced my mug of coffee on my knee. || to balance partners || to balance the boom mainsail || This final payment, or credit, balances the account."
balcony,n,балкон,2233,923.0,
ball,n,шар; мяч,745,3.881,a ball of spittle; a fecal ball || to ball cotton || The horse balls; the snow balls. || I had a ball at that concert.
bandage,n,"бинт, повязка; v- бинтовать, перевязывать",2356,848.0,
bang,n,удар; стук; v- ударить(ся); стукнуть(ся),1038,2.536,
bare,a,"голый, обнаженный",1365,1.811,
